#@ TextLoader{
#@   header+
#@   sep=comma
#@   col=ID_Cliente:R4:0
#@   col=Features:R4:1-12
#@ }
ID_Cliente,Edad_ZScore,Ingreso_Mensual_USD_ZScore,Frecuencia_Compra_mensual_ZScore,Genero_Encoded.F,Genero_Encoded.M,Producto_Preferido_Encoded.Moda,Producto_Preferido_Encoded.Electrónica,Producto_Preferido_Encoded.Alimentos,Region_Encoded.Europa,Region_Encoded.Norteamérica,Region_Encoded.Sudamérica,Region_Encoded.Asia
37,0.930196,1.2536464,0.17905742,1,0,0,1,0,0,0,1,0
38,1.4710076,0.90265256,1.0743445,0,1,0,1,0,0,0,0,1
39,0.4759142,0.96130604,0.17905742,0,1,0,1,0,0,1,0,0
40,0.9499055,0.96130604,0.17905742,0,1,1,0,0,1,0,0,0
41,1.168153,0.851526,1.4324594,0,1,0,1,0,0,0,0,1
42,0.9499055,1.0222864,0.7162297,1,0,0,1,0,0,1,0,0
43,0.9499055,1.4413112,0.17905742,0,1,0,1,0,1,0,0,0
44,0.82203364,0.96130604,1.253402,1,0,1,0,0,0,0,1,0
45,0.5840765,0.81041163,0.8952871,0,1,0,0,1,1,0,0,0
46,0.4759142,1.3050609,0.8952871,1,0,0,1,0,0,0,0,1
47,1.1465206,0.70828754,0.17905742,0,1,0,0,1,0,0,1,0
48,0.49754667,1.3706069,1.0743445,0,1,0,1,0,0,1,0,0
49,0.930196,0.98961264,1.6115167,1,0,0,0,1,0,0,1,0
50,0.9499055,1.0929147,1.6115167,0,1,1,0,0,0,1,0,0
51,1.211418,1.114223,1.4324594,0,1,1,0,0,0,1,0,0
52,1.211418,0.7887295,0.8952871,0,1,0,1,0,1,0,0,0
53,1.4493752,1.1216246,0.17905742,1,0,0,0,1,1,0,0,0
54,1.1248882,0.7370636,1.6115167,0,1,1,0,0,1,0,0,0
55,0.38938436,0.96130604,0.17905742,0,1,0,1,0,0,0,0,1
56,0.88693106,1.177476,1.4324594,1,0,0,1,0,0,0,0,1
57,1.1465206,1.0896952,0.8952871,1,0,1,0,0,1,0,0,0
58,0.49754667,0.9678181,0.53717226,1,0,1,0,0,0,0,0,1
59,0.9499055,0.57614,1.253402,0,1,0,1,0,0,0,1,0
60,1.3628453,0.6587161,1.253402,0,1,0,0,1,0,0,1,0
61,1.3195803,1.0841763,1.6115167,0,1,0,0,1,0,0,0,1
62,1.0383583,1.234866,1.253402,1,0,0,0,1,0,0,0,1
63,0.8004012,0.6254666,0.53717226,0,1,0,1,0,0,0,1,0
64,0.88693106,0.71474284,0.17905742,0,1,1,0,0,0,1,0,0
65,0.9085635,1.0370202,1.4324594,1,0,0,1,0,0,0,1,0
66,1.1465206,1.0299395,0.53717226,1,0,1,0,0,0,0,1,0
67,0.82203364,0.45529512,1.4324594,1,0,0,0,1,0,0,0,1
68,1.0167258,1.0460763,1.4324594,1,0,0,0,1,0,0,1,0
69,0.88693106,0.79463553,0.8952871,1,0,1,0,0,0,0,0,1
70,1.3195803,1.5356002,0.17905742,0,1,1,0,0,0,0,0,1
71,1.2763155,1.075074,1.253402,1,0,0,1,0,1,0,0,0
72,0.9499055,1.1320735,0.8952871,0,1,0,0,1,0,0,1,0
73,0.84366614,1.1406399,1.4324594,0,1,0,1,0,0,1,0,0
74,0.9734609,0.5909631,1.6115167,1,0,0,1,0,1,0,0,0
75,0.51917917,1.6357986,1.253402,1,0,0,1,0,0,0,0,1
76,1.1248882,0.4556425,1.253402,1,0,0,0,1,0,0,0,1
77,0.9734609,1.2558963,0.17905742,0,1,0,1,0,0,1,0,0
78,0.6706064,1.1973184,0.7162297,1,0,0,1,0,0,0,0,1
79,0.5840765,0.8347937,0.35811484,1,0,0,1,0,0,0,1,0
80,0.71387136,1.213131,0.35811484,1,0,0,1,0,1,0,0,0
81,0.71387136,0.8875448,0.35811484,1,0,0,1,0,0,0,0,1
82,1.0383583,0.76912856,0.7162297,1,0,0,1,0,0,0,0,1
83,1.2763155,1.1479853,0.17905742,0,1,0,0,1,0,1,0,0
84,0.9085635,0.65957636,0.7162297,0,1,0,1,0,0,0,1,0
85,0.64897394,0.91841865,0.35811484,0,1,1,0,0,0,0,0,1
86,0.49754667,0.796022,0.8952871,1,0,0,1,0,0,1,0,0
87,0.9499055,0.88145345,0.53717226,1,0,0,1,0,0,0,0,1
88,0.5624441,1.1357992,1.4324594,1,0,0,0,1,0,1,0,0
89,1.3412127,0.96130604,0.7162297,0,1,0,0,1,0,1,0,0
90,1.1465206,0.9289867,0.17905742,1,0,1,0,0,0,0,1,0
91,1.2979479,0.8261414,0.17905742,1,0,1,0,0,0,0,0,1
92,0.8004012,1.4704016,0.53717226,1,0,0,0,1,0,0,1,0
93,0.7571363,1.1059809,1.6115167,0,1,0,0,1,0,1,0,0
94,1.2979479,1.0654356,1.253402,1,0,0,1,0,1,0,0,0
95,0.82203364,1.2187458,0.35811484,0,1,0,0,1,0,0,0,1
96,0.45428175,0.7960385,1.6115167,1,0,1,0,0,1,0,0,0
97,1.4493752,1.2769266,0.35811484,0,1,0,1,0,0,0,0,1
98,1.0816232,1.1071621,0.53717226,0,1,1,0,0,0,0,1,0
99,0.9499055,0.47616327,0.35811484,0,1,0,1,0,0,0,1,0
100,0.51917917,0.5201231,0.53717226,1,0,0,0,1,0,0,1,0
